nome_estabelecimento;codigo_estabelecimento;nome_especialidade;codigo_especialidade;data_agendamento;horario_agendamento;recursos_disponiveis_no_horario;agendamentos_confirmados_no_horario;taxa_media_falta_especifica_2023;taxa_media_falta_especifica_ultimas_4_semanas;taxa_media_falta_especifica_historico;taxa_media_falta_geral_2023;taxa_media_falta_geral_ultimas_4_semanas;taxa_media_falta_geral_historico;desvio_padrao_falta_especifica_2023;desvio_padrao_falta_especifica_ultimas_4_semanas;desvio_padrao_falta_especifica_historico;indice_elasticidade_agendamento;elasticidade_maior_igual_50_porcento;overbooking_conservador_sugerido_maior_que_zero;disponibilidade_ajustada_recursos;disponibilidade_maior_igual_overbooking_sugerido;sugestao_overbooking_conservador_2023;sugestao_overbooking_moderado_2023;sugestao_overbooking_super_moderado_2023;sugestao_overbooking_agressivo_2023;sugestao_overbooking_super_agressivo_2023;sugestao_overbooking_conservador_ultimas_4_semanas;sugestao_overbooking_moderado_ultimas_4_semanas;sugestao_overbooking_super_moderado_ultimas_4_semanas;sugestao_overbooking_agressivo_ultimas_4_semanas;sugestao_overbooking_super_agressivo_ultimas_4_semanas;sugestao_overbooking_conservador_historico;sugestao_overbooking_moderado_historico;sugestao_overbooking_super_moderado_historico;sugestao_overbooking_agressivo_historico;sugestao_overbooking_super_agressivo_historico;detalhe_probabilidade_falta_individual;resumo_faltas_esperadas_por_horario
Dental Campo Grande;34;Odonto - Clínica geral;159;29/07/2024;8;11;5;0.36;0.51;0.24;0.284;0.386;0.288;0.27;0.2;0.21;0.875;True;True;6;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;576160(0.0020), 542129(0.5160), 561594(0.6480), 576728(0.0040), 578151(-1.0000);0 / 5
Dental Campo Grande;34;Odonto - Clínica geral;159;29/07/2024;9;18;12;0.34;0.48;0.29;0.284;0.386;0.288;0.12;0.11;0.17;0.5862068965517242;True;True;6;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;577198(-1.0000), 566878(0.1400), 541164(0.9900), 536556(0.0260), 560799(0.4320), 578247(-1.0000), 542672(0.9920), 578205(-1.0000), 575260(0.9940), 540883(0.9960), 553556(0.0080), 570953(0.9920);05/dez
Dental Campo Grande;34;Odonto - Clínica geral;159;29/07/2024;10;21;15;0.32;0.61;0.36;0.284;0.386;0.288;0.07;0.21;0.15;0.4166666666666667;False;False;6;True;0.0;0.0;0.0;0.0;0.0;3.0;3.0;5.0;6.0;7.0;0.0;0.0;1.0;2.0;2.0;577415(-1.0000), 577574(-1.0000), 577416(-1.0000), 578092(-1.0000), 561196(1.0000), 577573(-1.0000), 578114(-1.0000), 578091(-1.0000), 561195(1.0000), 578004(-1.0000), 578259(-1.0000), 578296(-1.0000), 577575(-1.0000), 578094(-1.0000), 568526(0.9960);mar/15
Dental Campo Grande;34;Odonto - Clínica geral;159;29/07/2024;11;13;7;0.33;0.46;0.3;0.284;0.386;0.288;0.18;0.09;0.15;0.5;True;True;6;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;568526(0.9960), 550929(1.0000), 571652(0.1300), 550930(1.0000), 578315(-1.0000), 543029(0.9820), 572211(0.0020);04/jul
Dental Campo Grande;34;Odonto - Clínica geral;159;29/07/2024;13;17;8;0.31;0.28;0.37;0.284;0.386;0.288;0.22;0.18;0.21;0.5675675675675675;True;True;9;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;578245(-1.0000), 549083(0.3940), 578384(-1.0000), 578167(-1.0000), 564809(0.0020), 577105(-1.0000), 576895(0.0020), 578169(-1.0000);0 / 8
Dental Campo Grande;34;Odonto - Clínica geral;159;29/07/2024;14;19;10;0.38;0.48;0.34;0.284;0.386;0.288;0.14;0.22;0.2;0.5882352941176471;True;True;9;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;563922(0.0000), 575237(0.0020), 532205(0.9980), 565423(0.0020), 570602(1.0000), 578318(-1.0000), 564809(0.0020), 564828(0.0020), 577615(-1.0000), 576128(0.1460);02/out
Dental Campo Grande;34;Odonto - Clínica geral;159;29/07/2024;15;20;11;0.34;0.45;0.31;0.284;0.386;0.288;0.23;0.19;0.18;0.5806451612903225;True;True;9;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;576131(0.1520), 565764(0.0000), 575290(0.9980), 563561(0.0020), 554593(0.0100), 577707(-1.0000), 571923(0.9960), 527521(0.5260), 527520(0.2720), 578298(-1.0000), 578292(-1.0000);02/nov
Dental Campo Grande;34;Odonto - Clínica geral;159;29/07/2024;16;19;10;0.34;0.52;0.32;0.284;0.386;0.288;0.1;0.25;0.18;0.5625;True;True;9;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;578228(-1.0000), 577075(-1.0000), 576024(0.1600), 549491(0.0000), 565719(0.0020), 578256(-1.0000), 552077(0.9980), 578400(-1.0000), 575278(0.0020), 577126(-1.0000);01/out
Dental Campo Grande;34;Odonto - Clínica geral;159;29/07/2024;17;16;7;0.16;0.58;0.25;0.284;0.386;0.288;0.1;0.14;0.19;0.76;True;True;9;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;572598(0.0040), 563385(0.0020), 578116(-1.0000), 578257(-1.0000), 578255(-1.0000), 577749(0.9980), 527449(0.6180);01/jul
Dental Campo Grande;34;Odonto - Clínica geral;159;29/07/2024;18;13;4;0.19;0.33;0.45;0.284;0.386;0.288;0.32;0.2;0.28;0.6222222222222222;True;True;9;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;554540(0.1480), 567532(0.0040), 578090(-1.0000), 578115(-1.0000);0 / 4
